"id","name","xp_reward","type","hp","atk","def","spatk","spdef","spd","move1","move2","move3","move4","xp_accumulated","level"
1,"bulbasaur",64,"grass",45.0,49.0,49.0,65.0,65.0,45.0,"tackle","","","",0,0
2,"ivysaur",142,"grass",60.0,62.0,63.0,80.0,80.0,60.0,"tackle","","","",0,0
3,"venusaur",263,"grass",80.0,82.0,83.0,100.0,100.0,80.0,"vine-whip","tackle","petal-dance","",0,0
4,"charmander",62,"fire",39.0,52.0,43.0,60.0,50.0,65.0,"scratch","","","",0,0
5,"charmeleon",142,"fire",58.0,64.0,58.0,80.0,65.0,80.0,"scratch","ember","","",0,0
6,"charizard",267,"fire",78.0,84.0,78.0,109.0,85.0,100.0,"dragon-claw","wing-attack","ember","flare-blitz",0,0
7,"squirtle",63,"water",44.0,48.0,65.0,50.0,64.0,43.0,"tackle","","","",0,0
8,"wartortle",142,"water",59.0,63.0,80.0,65.0,80.0,58.0,"tackle","water-gun","","",0,0
9,"blastoise",265,"water",79.0,83.0,100.0,85.0,105.0,78.0,"tackle","water-gun","flash-cannon","",0,0
10,"caterpie",39,"bug",45.0,30.0,35.0,20.0,20.0,45.0,"tackle","","","",0,0
11,"metapod",72,"bug",50.0,20.0,55.0,25.0,25.0,30.0,"tackle","","","",0,0
12,"butterfree",198,"bug",60.0,45.0,50.0,90.0,80.0,70.0,"gust","confusion","","",0,0
13,"weedle",39,"bug",40.0,35.0,30.0,20.0,20.0,50.0,"poison-sting","","","",0,0
14,"kakuna",72,"bug",45.0,25.0,50.0,25.0,25.0,35.0,"tackle","","","",0,0
15,"beedrill",178,"bug",65.0,90.0,40.0,45.0,80.0,75.0,"fury-attack","twineedle","","",0,0
16,"pidgey",50,"normal",40.0,45.0,40.0,35.0,35.0,56.0,"tackle","","","",0,0
17,"pidgeotto",122,"normal",63.0,60.0,55.0,50.0,50.0,71.0,"gust","tackle","","",0,0
18,"pidgeot",216,"normal",83.0,80.0,75.0,70.0,70.0,101.0,"gust","tackle","quick-attack","hurricane",0,0
19,"rattata",51,"normal",30.0,56.0,35.0,25.0,35.0,72.0,"tackle","","","",0,0
20,"raticate",145,"normal",55.0,81.0,60.0,50.0,70.0,97.0,"tackle","quick-attack","","",0,0
21,"spearow",52,"normal",40.0,60.0,30.0,31.0,31.0,70.0,"peck","","","",0,0
22,"fearow",155,"normal",65.0,90.0,65.0,61.0,61.0,100.0,"pursuit","pluck","drill-run","peck",0,0
23,"ekans",58,"poison",35.0,60.0,44.0,40.0,54.0,55.0,"wrap","","","",0,0
24,"arbok",157,"poison",60.0,95.0,69.0,65.0,79.0,80.0,"thunder-fang","poison-sting","bite","fire-fang",0,0
25,"pikachu",112,"electric",35.0,55.0,40.0,50.0,50.0,90.0,"thunder-shock","","","",0,0
26,"raichu",243,"electric",60.0,90.0,55.0,90.0,80.0,110.0,"thunder-shock","thunderbolt","quick-attack","",0,0
27,"sandshrew",60,"ground",50.0,75.0,85.0,20.0,30.0,40.0,"scratch","","","",0,0
28,"sandslash",158,"ground",75.0,100.0,110.0,45.0,55.0,65.0,"scratch","poison-sting","crush-claw","",0,0
29,"nidoran-f",55,"poison",55.0,47.0,52.0,40.0,40.0,41.0,"scratch","","","",0,0
30,"nidorina",128,"poison",70.0,62.0,67.0,55.0,55.0,56.0,"scratch","","","",0,0
31,"nidoqueen",253,"poison",90.0,92.0,87.0,75.0,85.0,76.0,"double-kick","poison-sting","scratch","superpower",0,0
32,"nidoran-m",55,"poison",46.0,57.0,40.0,40.0,40.0,50.0,"peck","","","",0,0
33,"nidorino",128,"poison",61.0,72.0,57.0,55.0,55.0,65.0,"peck","","","",0,0
34,"nidoking",253,"poison",81.0,102.0,77.0,85.0,75.0,85.0,"double-kick","poison-sting","peck","megahorn",0,0
35,"clefairy",113,"fairy",70.0,45.0,48.0,60.0,65.0,35.0,"pound","disarming-voice","","",0,0
36,"clefable",242,"fairy",95.0,70.0,73.0,95.0,90.0,60.0,"double-slap","disarming-voice","","",0,0
37,"vulpix",60,"fire",38.0,41.0,40.0,50.0,65.0,65.0,"ember","","","",0,0
38,"ninetales",177,"fire",73.0,76.0,75.0,81.0,100.0,100.0,"flamethrower","quick-attack","","",0,0
39,"jigglypuff",95,"normal",115.0,45.0,20.0,45.0,25.0,20.0,"tackle","","","",0,0
40,"wigglytuff",218,"normal",140.0,70.0,45.0,85.0,50.0,45.0,"double-slap","double-edge","play-rough","",0,0
41,"zubat",49,"poison",40.0,45.0,35.0,30.0,40.0,55.0,"absorb","","","",0,0
42,"golbat",159,"poison",75.0,80.0,70.0,65.0,75.0,90.0,"bite","absorb","astonish","",0,0
43,"oddish",64,"grass",45.0,50.0,55.0,75.0,65.0,30.0,"absorb","","","",0,0
44,"gloom",138,"grass",60.0,65.0,70.0,85.0,75.0,40.0,"acid","absorb","","",0,0
45,"vileplume",245,"grass",75.0,80.0,85.0,110.0,90.0,50.0,"mega-drain","","","",0,0
46,"paras",57,"bug",35.0,70.0,55.0,45.0,55.0,25.0,"scratch","","","",0,0
47,"parasect",142,"bug",60.0,95.0,80.0,60.0,80.0,30.0,"scratch","absorb","cross-poison","",0,0
48,"venonat",61,"bug",60.0,55.0,50.0,40.0,55.0,45.0,"tackle","","","",0,0
49,"venomoth",158,"bug",70.0,65.0,60.0,90.0,75.0,90.0,"silver-wind","bug-buzz","tackle","gust",0,0
50,"diglett",53,"ground",10.0,55.0,25.0,35.0,45.0,95.0,"scratch","","","",0,0
51,"dugtrio",149,"ground",35.0,100.0,50.0,50.0,70.0,120.0,"night-slash","scratch","tri-attack","sand-tomb",0,0
52,"meowth",58,"normal",40.0,45.0,35.0,40.0,40.0,90.0,"scratch","","","",0,0
53,"persian",154,"normal",65.0,70.0,60.0,65.0,65.0,115.0,"play-rough","scratch","fake-out","swift",0,0
54,"psyduck",64,"water",50.0,52.0,48.0,65.0,50.0,55.0,"scratch","","","",0,0
55,"golduck",175,"water",80.0,82.0,78.0,95.0,80.0,85.0,"scratch","water-gun","aqua-jet","",0,0
56,"mankey",61,"fighting",40.0,80.0,35.0,35.0,45.0,70.0,"scratch","covet","","",0,0
57,"primeape",159,"fighting",65.0,105.0,60.0,60.0,70.0,95.0,"scratch","rage","","",0,0
58,"growlithe",70,"fire",55.0,70.0,45.0,70.0,50.0,60.0,"bite","","","",0,0
59,"arcanine",194,"fire",90.0,110.0,80.0,100.0,80.0,95.0,"bite","thunder-fang","fire-fang","",0,0
60,"poliwag",60,"water",40.0,50.0,40.0,40.0,40.0,90.0,"tackle","","","",0,0
61,"poliwhirl",135,"water",65.0,65.0,65.0,50.0,50.0,90.0,"water-gun","","","",0,0
62,"poliwrath",255,"water",90.0,95.0,95.0,70.0,90.0,70.0,"circle-throw","bubble-beam","submission","double-slap",0,0
63,"abra",62,"psychic",25.0,20.0,15.0,105.0,55.0,90.0,"tackle","","","",0,0
64,"kadabra",140,"psychic",40.0,35.0,30.0,120.0,70.0,105.0,"confusion","","","",0,0
65,"alakazam",250,"psychic",55.0,50.0,45.0,135.0,95.0,120.0,"confusion","","","",0,0
66,"machop",61,"fighting",70.0,80.0,50.0,35.0,35.0,35.0,"tackle","","","",0,0
67,"machoke",142,"fighting",80.0,100.0,70.0,50.0,60.0,45.0,"karate-chop","","","",0,0
68,"machamp",253,"fighting",90.0,130.0,80.0,65.0,85.0,55.0,"karate-chop","strength","","",0,0
69,"bellsprout",60,"grass",50.0,75.0,35.0,70.0,30.0,40.0,"vine-whip","","","",0,0
70,"weepinbell",137,"grass",65.0,90.0,50.0,85.0,45.0,55.0,"vine-whip","wrap","","",0,0
71,"victreebel",221,"grass",80.0,105.0,65.0,100.0,70.0,70.0,"vine-whip","razor-leaf","leaf-tornado","",0,0
72,"tentacool",67,"water",40.0,40.0,35.0,50.0,100.0,70.0,"poison-sting","","","",0,0
73,"tentacruel",180,"water",80.0,70.0,65.0,80.0,120.0,100.0,"poison-sting","acid","constrict","",0,0
74,"geodude",60,"rock",40.0,80.0,100.0,30.0,30.0,20.0,"tackle","","","",0,0
75,"graveler",137,"rock",55.0,95.0,115.0,45.0,45.0,35.0,"tackle","","","",0,0
76,"golem",223,"rock",80.0,120.0,130.0,55.0,65.0,45.0,"tackle","","","",0,0
77,"ponyta",82,"fire",50.0,85.0,55.0,65.0,65.0,90.0,"tackle","","","",0,0
78,"rapidash",175,"fire",65.0,100.0,70.0,80.0,80.0,105.0,"quick-attack","ember","megahorn","poison-jab",0,0
79,"slowpoke",63,"water",90.0,65.0,65.0,40.0,40.0,15.0,"tackle","","","",0,0
80,"slowbro",172,"water",95.0,75.0,110.0,100.0,80.0,30.0,"tackle","","","",0,0
81,"magnemite",65,"electric",25.0,35.0,70.0,95.0,55.0,45.0,"tackle","","","",0,0
82,"magneton",163,"electric",50.0,60.0,95.0,120.0,70.0,70.0,"tri-attack","zap-cannon","thunder-shock","tackle",0,0
83,"farfetchd",132,"normal",52.0,90.0,55.0,58.0,62.0,60.0,"brave-bird","fury-cutter","poison-jab","peck",0,0
84,"doduo",62,"normal",35.0,85.0,45.0,35.0,35.0,75.0,"peck","","","",0,0
85,"dodrio",165,"normal",60.0,110.0,70.0,60.0,60.0,110.0,"quick-attack","rage","peck","tri-attack",0,0
86,"seel",65,"water",65.0,45.0,55.0,45.0,70.0,45.0,"headbutt","","","",0,0
87,"dewgong",166,"water",90.0,70.0,80.0,70.0,95.0,70.0,"headbutt","icy-wind","signal-beam","",0,0
88,"grimer",65,"poison",80.0,80.0,50.0,40.0,50.0,25.0,"pound","","","",0,0
89,"muk",175,"poison",105.0,105.0,75.0,65.0,100.0,50.0,"pound","mud-slap","","",0,0
90,"shellder",61,"water",30.0,65.0,100.0,45.0,25.0,40.0,"tackle","water-gun","","",0,0
